year,month,oilpricenominal,oilpricereal2009,algeria,angola,ecuador,iran,iraq,kuwait,libya,nigeria,qatar,saudiarabia,uae,venezuela,canada,china,egypt,mexico,norway,unitedstates,uk,totalopec,totalnonopec,totalworld,opecquantities,nonopecquantities
1973,1,3.56,17.645,1142,162,230,5808,1527,3768,2293,1936,581,6876,1416,3272,1778,1012,193,453,36.773,9175.9,2,29011,25378,54389,29011,12650.673
1973,2,3.56,17.521,1142,162,230,5835,1687,3340,2250,1944,613,7194,1597,3309,1792,1012,191.09,458,25.841,9395.2,2,29303,25627,54930,29303,12876.131
1973,3,3.56,17.36,1142,162,225,5832,2044,2753,2287,1933,604,7481,1548,3330,1826,1012,196.82,458,39.755,9271.9,2,29341,25654,54995,29341,12806.475
1973,4,3.56,17.24,1142,162,120,5769,2152,2699,2318,1963,591,7359,1602,3360,1787,1012,206.37,463,26.835,9291.9,2,29237,25812,55049,29237,12789.105
1973,5,3.56,17.122,1153,162,160,5842,2117,2827,2251,1957,586,8316,1613,3426,1721,1012,206.37,468,37.767,9262.4,2,30410,25913,56323,30410,12709.537
1973,6,3.56,17.006,1153,162,200,5826,2051,2857,2276,2007,560,7553,1537,3383,1889,1012,200.64,468,37.767,9213.9,2,29565,26146,55711,29565,12823.307
1973,7,3.56,16.968,1142,162,220,5873,2099,3283,2176,2000,606,8682,1613,3391,1803,1062,224.53,463,33.792,9217.1,2,31247,26173,57420,31247,12805.422
1973,8,4.31,20.178,1142,162,220,5701,2091,3012,2096,2110,568,8423,1674,3396,1799,1062,224.53,463,33.792,9168.5,2,30595,26155,56750,30595,12752.822
1973,9,4.31,20.133,1142,162,220,5792,2166,3483,2273,2112,609,8532,1660,3406,1735,1062,224.53,463,33.792,9065.3,2,31557,26187,57744,31557,12585.622
1973,10,4.31,19.957,1059,162,220,5977,1846,3060,2370,2200,600,7796,1669,3381,1802,1180,57.326,473,36.773,9223.9,2,30340,26274,56614,30340,12774.999
1973,11,4.31,19.826,914,162,220,6008,2203,2617,1756,2210,474,6267,1297,3395,1821,1180,28.663,473,36.773,9161,2,27523,26343,53866,27523,12702.436
1973,12,4.31,19.698,893,162,240,6070,2215,2558,1759,2266,456,6614,1171,3340,1825,1450,28.663,473,3.975,9063.2,2,27744,26533,54277,27744,12845.838
1974,1,10.11,45.808,1046,169,240,6100,1994,2839,2007,2194,517,7513,1388,3284,1676,1165,84.117,497,2.018,8933.9,2,29291,26183,55474,29291,12360.035
1974,2,10.11,45.226,1067,169,240,6154,1975,2850,1921,2194,516,7796,1511,3230,1675,1165,84.117,497,25.221,9142.2,2,29623,26320,55943,29623,12590.538
1974,3,10.11,44.658,1067,169,250,6122,1986,2842,1859,2299,517,8131,1736,3189,1709,1165,115.66,533,17.15,8965.4,2,30167,26208,56375,30167,12507.21
1974,4,10.11,44.472,1089,169,255,6172,2164,2837,1713,2284,518,8654,1854,3053,1644,1165,105.15,543,13.115,8954,2,30762,26348,57110,30762,12426.265
1974,5,10.11,43.923,1089,169,240,6179,1753,2846,1926,2259,518,9014,1856,2939,1573,1219,157.72,543,30.265,8910.6,2,30788,26491,57279,30788,12435.585
1974,6,10.11,43.564,1035,169,240,6060,1851,2870,1753,2345,519,8885,1821,2953,1528,1219,168.24,589,38.336,8780.2,2,30501,26357,56858,30501,12324.776
1974,7,10.11,43.212,980,169,100,6061,1905,2287,1564,2205,519,8783,1933,2949,1522,1219,168.24,615,47.416,8780.1,2,29455,26310,55765,29455,12353.756
1974,8,10.11,42.693,1035,169,120,5953,1938,2069,1258,2308,515,8275,1779,2868,1493,1219,178.75,594,47.416,8698.9,2,28287,26015,54302,28287,12233.066
1974,9,10.11,42.187,980,169,125,5833,1871,2226,1309,2321,514,8763,1704,2778,1467,1219,180.85,594,50.442,8442.9,2,28593,26248,54841,28593,11956.192
1974,10,11.16,46.113,980,169,105,5717,1991,2061,1056,2334,524,9052,1489,2818,1451,1625,184.01,615,44.389,8611.3,2,28296,26717,55013,28296,12532.699
1974,11,11.16,45.754,871,169,70,6012,1921,2547,949,2247,518,8812,1530,2826,1334,1625,184.01,615,57.504,8568.8,2,28472,26616,55088,28472,12386.314
1974,12,11.16,45.402,871,169,145,5912,2301,2321,963,2071,518,8053,1536,2841,1544,1761,184.01,615,46.407,8526.5,2,27701,26895,54596,27701,12678.917
1975,1,11.16,45.228,786,165,140,5544,2066,2030,956,1991,512,7839,1088,2747,1558,1335,191.6,660,23.976,8455,1,25864,26556,52420,25864,12224.576
1975,2,11.16,44.883,786,165,178,5900,1941,2155,894,1807,500,6754,1007,2565,1469,1335,191.6,671,76.924,8591.1,1,24652,26756,51408,24652,12335.624
1975,3,11.16,44.713,1010,165,25,5513,2093,2321,928,1718,428,6550,1424,2535,1352,1335,191.6,673,122.88,8493.5,1,24710,26616,51326,24710,12168.98
1975,4,11.16,44.544,1010,165,208,5456,2414,2143,1071,1535,515,5917,1660,2490,1197,1335,191.6,673,149.85,8456.6,1,24584,26362,50946,24584,12004.05
1975,5,11.16,44.292,898,165,143,5094,2364,1924,1271,1551,469,6989,1678,2394,1197,1335,208.03,693,149.85,8378.8,1,24940,26241,51181,24940,11962.68
1975,6,11.16,43.962,1010,165,140,5126,2261,2222,1494,1621,329,6818,1897,2439,1468,1335,208.03,732,218.78,8420.8,7,25522,26953,52475,25522,12389.61
1975,7,11.16,43.475,1010,165,145,5437,2377,2106,2067,1631,261,6980,2023,2336,1468,1591,251.82,781,255.75,8335.7,12,26538,27318,53856,26538,12695.27
1975,8,11.16,43.395,1010,165,193,5508,2390,1956,2061,1760,411,8208,1829,2285,1472,1591,254.01,686,218.78,8248.8,15,27776,27241,55017,27776,12485.59
1975,9,11.16,43.157,1010,165,186,6104,2541,2708,1763,1926,279,8407,1834,2316,1527,1591,251.82,703,300.7,8279.6,9,29239,27502,56741,29239,12662.12
1975,10,11.16,42.921,1010,165,181,4730,2485,1579,1625,1914,393,5869,1632,2244,1434,1694,251.82,712,261.74,8324.4,10,23827,27562,51389,23827,12687.96
1975,11,11.16,42.61,1122,165,204,4995,2120,1785,1760,1956,554,6947,2010,2045,1451,1694,295.62,732,229.77,8277.9,12,25663,27529,53192,25663,12692.29
1975,12,11.16,42.457,1122,165,192,4854,2070,2099,1818,1986,608,7585,1845,1771,1571,1694,328.46,742,252.75,8253.5,71,26115,27801,53916,26115,12912.71
1976,1,11.16,42.381,1071,108,175,4940,2044,1806,1748,1996,496,7464,1902,1675,1288,1667,325.24,774,263.93,8231.8,117,25425,27708,53133,25425,12666.97
1976,2,12.03,45.521,1071,108,185,5018,2245,2004,1829,2067,482,7969,1902,2002,1217,1516,304.91,774,278.93,8231.2,117,26882,27683,54565,26882,12439.04
1976,3,12.1,45.704,1071,108,215,5744,2413,1758,1853,2015,508,8365,1872,2289,1203,1541,320.16,774,267.93,8232.2,127,28211,27716,55927,28211,12465.29
1976,4,12.17,45.804,1071,108,200,5502,1609,1888,1921,2061,496,8270,1873,2401,1117,1667,320.16,785,195.95,8077,142,27400,27505,54905,27400,12304.11
1976,5,12.17,45.48,1071,108,205,5600,1385,1642,1958,2079,507,8450,1874,2410,1328,1667,320.16,805,168.96,8124.5,188,27289,27851,55140,27289,12601.62
1976,6,12.17,45.24,1071,108,115,6102,2011,1848,1981,2092,505,8526,1944,2371,1451,1667,320.16,852,281.93,8094.4,203,28674,28276,56950,28674,12869.49
