Year,TS,pval,stars
1973,1.0001000075005246e-9,1.0,
1974,1.0001000075078088e-9,1.0,
1975,1.000100007495386e-9,1.0,
1976,1.0001000075005368e-9,1.0,
1977,1.000100007495984e-9,1.0,
1978,1.0001000073844453e-9,1.0,
1979,1.000100007500609e-9,1.0,
1980,1.000100007505797e-9,1.0,
1981,1.0001000075007376e-9,1.0,
1982,1.00010000750028e-9,1.0,
1983,1.00010000750094e-9,1.0,
1984,1.0001000074877182e-9,1.0,
1985,1.0001000075000866e-9,1.0,
1986,1.0001000075006386e-9,1.0,
1987,1.0001000074817077e-9,1.0,
1988,1.0001000074986554e-9,1.0,
1989,1.0001000075001418e-9,1.0,
1990,1.0001000075004845e-9,1.0,
1991,1.0001000075000155e-9,1.0,
1992,1.0001000074998234e-9,1.0,
1993,1.000100007498132e-9,1.0,
1994,1.000100007500499e-9,1.0,
1995,1.000100007504248e-9,1.0,
1996,1.000100007501815e-9,1.0,
1997,1.0001000074991887e-9,1.0,
1998,1.000100007499554e-9,1.0,
1999,1.0001000075008234e-9,1.0,
2000,1.0001000075011407e-9,1.0,
2001,1.0001000074679231e-9,1.0,
2002,1.0001000075005e-9,1.0,
2003,1.0001000074991347e-9,1.0,
2004,1.0001000074997977e-9,1.0,
2005,1.0001000074668602e-9,1.0,
2006,1.0001000074998079e-9,1.0,
2007,1.0001000075005842e-9,1.0,
2008,1.0001000074997682e-9,1.0,
